RPM,Collective,Taper_Ratio,Thrust_N,Power_kW,Torque_Nm,Efficiency
1800,12,0.9,277.62927933873453,3.794681504939097,20.13141063234833,0.5766465702937624
1800,12,1.0,295.76915178274027,4.1480981196138895,22.006344005558226,0.5800526808698129
1800,14,0.5,231.76983542280774,2.995705047357123,15.892708877740883,0.5571517034517628
1800,14,0.7,285.4746618177062,3.9999485086114266,21.220385908618773,0.5704060133477409
1800,14,0.9,333.20090933702164,4.96215877556396,26.325069917927713,0.579796722212172
1800,14,1.0,355.28331801868933,5.428043566702719,28.79666549863,0.5835875854503908
1800,16,0.5,270.11861484312317,3.7911194947196365,20.112513581222625,0.5539256077031415
1800,16,0.7,333.0436052525875,5.064614841433593,26.868616229024404,0.5676653301825572
1800,16,0.9,389.21379054382896,6.289042081730794,33.364404487346654,0.5775438639342119
1800,16,1.0,415.28433743997607,6.883348086568587,36.51729576665102,0.581575015565306
2100,8,0.5,162.35654199685044,1.8959176305165644,8.621276074050996,0.5161457661505274
2100,8,0.7,198.5655871036358,2.5214962349180734,11.465959707851837,0.5249099408040975
2100,8,0.9,230.00293713253822,3.1134149632398676,14.157582322739902,0.5299686866050975
2100,8,1.0,244.3182477047136,3.3977409228213302,15.450493234646652,0.5316560271813147
2100,10,0.5,212.547763749863,2.6902199634133424,12.23319443376375,0.5448590441475806
2100,10,0.7,260.83773731491556,3.584201415519158,16.298382066195494,0.5559687412467259
2100,10,0.9,303.19642122064806,4.4336098812370235,20.160883666855522,0.5632689026976119
2100,10,1.0,322.6200844847058,4.8425862187594415,22.02061525897873,0.5660396899193416
2100,12,0.5,263.6901662679437,3.645657124544413,16.57783863398368,0.5555871924081072
2100,12,0.7,324.31288961911224,4.863545883453741,22.115924808740054,0.5680419930135885
2100,12,0.9,377.88429687772197,6.025813686083846,27.401086694029665,0.5766465702937621
2100,12,1.0,402.5746788153966,6.5870261806831705,29.953079340898704,0.5800526808698129
2100,14,0.5,315.4644982143773,4.757068663164322,21.63174263914732,0.5571517034517628
2100,14,0.7,388.5627341407667,6.351770085433886,28.883303042286656,0.5704060133477408
2100,14,0.9,453.52345993094616,7.879724351937216,35.831345166068274,0.5797967222121719
2100,14,1.0,483.58007174766055,8.619532145273302,39.19546137313529,0.5835875854503908
2100,16,0.5,367.6614479809176,6.020157345781647,27.375365707775245,0.5539256077031411
2100,16,0.7,453.30935159379976,8.042420789869087,36.57117208950544,0.5676653301825573
2100,16,0.9,529.7632149068785,9.986765898303995,45.41266166333295,0.577543863934212
2100,16,1.0,565.2481259599675,10.930501822652898,49.70409701571944,0.5815750155653059
2400,8,0.5,212.0575242407843,2.830057804153006,11.260442219168649,0.5161457661505274
2400,8,0.7,259.35097091087124,3.7638660999360165,14.97594737352077,0.5249099408040974
2400,8,0.9,300.4119995200499,4.647429915973213,18.49153609500722,0.5299686866050977
2400,8,1.0,319.109548022483,5.071846508701228,20.1802360615793,0.5316560271813144
2400,10,0.5,277.61340571410676,4.015721927893968,15.978049872671019,0.5448590441475805
2400,10,0.7,340.68602424805306,5.350178206256002,21.287682698704316,0.5559687412467261
2400,10,0.9,396.0116522065606,6.618099881030194,26.33258274854599,0.5632689026976115
2400,10,1.0,421.3813348371667,7.228583510218177,28.76161993009467,0.5660396899193414
2400,12,0.5,344.41164573772244,5.441913841885538,21.652687195407257,0.5555871924081073
2400,12,0.7,423.59234562496295,7.259870240024243,28.886105872640073,0.5680419930135885
2400,12,0.9,493.5631632688614,8.994800604300083,35.789174457508146,0.5766465702937622
2400,12,1.0,525.8118253915384,9.832528876121815,39.122389343214635,0.5800526808698129
2400,14,0.5,412.0352629738805,7.100930482624293,28.25370467153936,0.5571517034517628
2400,14,0.7,507.5105098981444,9.481359427819678,37.72513050421116,0.570406013347741
2400,14,0.9,592.3571721547053,11.762154134670132,46.80012429853816,0.5797967222121719
2400,14,1.0,631.6147875887812,12.866473639591637,51.19407199756446,0.5835875854503908
2400,16,0.5,480.2108708322189,8.986357320816918,35.75557969995134,0.5539256077031413
2400,16,0.7,592.0775204490445,12.005012957472223,47.766428851598945,0.5676653301825572
2400,16,0.9,691.9356276334738,14.907359008547072,59.31449686639406,0.5775438639342119
2400,16,1.0,738.2832665599575,16.31608435334777,64.9196369184907,0.5815750155653059
